Метаданные	ИмяТаблицыХранения	
Соединений	_1SUSERS	
Системная	_1SSYSTEM	
Константы	_1SCONST	
Журналы	_1SJOURN	
Ссылки.документов	_1SCRDOC	
Номеров.документов	_1SDNLOCK	
Уникальности	_1SUIDCTL	
Справочник.Аналоги	SC552	
Справочник.Банки	SC163	
Справочник.БанковскиеСчета	SC1710	
Справочник.Валюты	SC14	
Справочник.ВидыСвойств	SC546	
Справочник.ВидыСубконто	SC2532	
Справочник.ГТД	SC568	
Справочник.ДвиженияДенежныхСре	SC4264	
Справочник.ДвиженияРегистров	SC2543	
Справочник.Договоры	SC204	
Справочник.Единицы	SC75	
Справочник.ЗначенияСвойств	SC556	
Справочник.ЗначенияСубконто	SC2534	
Справочник.Кассы	SC1809	
Справочник.Каталоги	SC538	
Справочник.Комплектация	SC890	
Справочник.Контрагенты	SC172	
Справочник.Номенклатура	SC84	
Справочник.ОКЕИ	SC41	
Справочник.ОКСМ	SC566	
Справочник.Партии	SC214	
Справочник.ПланСчетов	SC2221	
Справочник.ПолномочияПользоват	SC2335	
Справочник.Пользователи	SC30	
Справочник.ПроводкиХозОпераций	SC2875	
Справочник.Проекты	SC796	
Справочник.Сайты	SC577	
Справочник.СвоиЮрЛица	SC131	
Справочник.СвойстваКонтрагенто	SC558	
Справочник.СвойстваНоменклатур	SC562	
Справочник.Скидки	SC426	
Справочник.Склады	SC55	
Справочник.СтавкиНП	SC35	
Справочник.ТипыЦен	SC219	
Справочник.УпрАналитика	SC72	
Справочник.ФизЛица	SC503	
Справочник.Фирмы	SC4014	
Справочник.ФП_ВыгрузкаДанных	SC7657	
Справочник.ФП_ОтборДанных	SC7664	
Справочник.ФП_Справочники	SC7677	
Справочник.ХозОперации	SC2537	
Справочник.Цены	SC319	
Справочник.ЮрЛица	SC493	
Справочник.ЛицензииПоставщиков	SC9245	
Справочник.ВидыАлкогольнойПрод	SC9248	
Документ.АвансовыйОтчет	DH6675	
Документ.БыстраяПродажа	DH4824	
Документ.(Мн.ч.).БыстраяПродаж	DT4824	
Документ.ВводОстатковЗаказыЗая	DH6334	
Документ.(Мн.ч.).ВводОстатковЗ	DT6334	
Документ.ВводОстатковКассаБанк	DH3813	
Документ.(Мн.ч.).ВводОстатковК	DT3813	
Документ.ВводОстатковПокупател	DH3805	
Документ.(Мн.ч.).ВводОстатковП	DT3805	
Документ.ВводОстатковПоставщик	DH3790	
Документ.(Мн.ч.).ВводОстатковП	DT3790	
Документ.ВводОстатковТМЦ	DH3957	
Документ.(Мн.ч.).ВводОстатковТ	DT3957	
Документ.ВозвратОтПокупателя	DH1656	
Документ.(Мн.ч.).ВозвратОтПоку	DT1656	
Документ.ВозвратПоставщику	DH1684	
Документ.(Мн.ч.).ВозвратПостав	DT1684	
Документ.Доверенность	DH3521	
Документ.(Мн.ч.).Доверенность	DT3521	
Документ.ЗаказПоставщику	DH2742	
Документ.(Мн.ч.).ЗаказПоставщи	DT2742	
Документ.ЗакрытиеМесяца	DH5155	
Документ.ЗаписьКнигиПокупок	DH3504	
Документ.(Мн.ч.).ЗаписьКнигиПо	DT3504	
Документ.ЗаписьКнигиПродаж	DH4389	
Документ.(Мн.ч.).ЗаписьКнигиПр	DT4389	
Документ.ЗаявкаПокупателя	DH2457	
Документ.(Мн.ч.).ЗаявкаПокупат	DT2457	
Документ.ИнвентаризацияКомисси	DH4541	
Документ.(Мн.ч.).Инвентаризаци	DT4541	
Документ.ИнвентаризацияТМЦ	DH3725	
Документ.(Мн.ч.).Инвентаризаци	DT3725	
Документ.КнигаПокупок	DH3592	
Документ.КнигаПродаж	DH4694	
Документ.КомплектацияТМЦ	DH2320	
Документ.(Мн.ч.).КомплектацияТ	DT2320	
Документ.КорректировкаДолга	DH3995	
Документ.КорректировкаОтгрузки	DH6918	
Документ.(Мн.ч.).Корректировка	DT6918	
Документ.ОприходованиеТМЦ	DH2106	
Документ.(Мн.ч.).Оприходование	DT2106	
Документ.ОтменаЗаявок	DH6313	
Документ.(Мн.ч.).ОтменаЗаявок	DT6313	
Документ.ОтчетККМ	DH3114	
Документ.(Мн.ч.).ОтчетККМ	DT3114	
Документ.ОтчетКомиссионера	DH1774	
Документ.(Мн.ч.).ОтчетКомиссио	DT1774	
Документ.ОтчетКомитенту	DH2827	
Документ.(Мн.ч.).ОтчетКомитент	DT2827	
Документ.ПеремещениеДенегБанк	DH4847	
Документ.ПеремещениеДенегКасса	DH4854	
Документ.ПеремещениеТМЦ	DH1628	
Документ.(Мн.ч.).ПеремещениеТМ	DT1628	
Документ.ПереоценкаВалюты	DH4913	
Документ.ПереоценкаРозница	DH4132	
Документ.(Мн.ч.).ПереоценкаРоз	DT4132	
Документ.ПереоценкаУКомиссионе	DH5211	
Документ.(Мн.ч.).ПереоценкаУКо	DT5211	
Документ.ПКО	DH2196	
Документ.ПлатежноеПоручение	DH1731	
Документ.ПоступлениеДопРасходы	DH2075	
Документ.(Мн.ч.).ПоступлениеДо	DT2075	
Документ.ПоступлениеПрочее	DH3638	
Документ.(Мн.ч.).ПоступлениеПр	DT3638	
Документ.ПоступлениеТМЦ	DH1582	
Документ.(Мн.ч.).ПоступлениеТМ	DT1582	
Документ.ПоступлениеТМЦИмпорт	DH3311	
Документ.(Мн.ч.).ПоступлениеТМ	DT3311	
Документ.ПоступлениеТМЦРозница	DH6532	
Документ.(Мн.ч.).ПоступлениеТМ	DT6532	
Документ.Реализация	DH1611	
Документ.(Мн.ч.).Реализация	DT1611	
Документ.РеализацияПрочее	DH3614	
Документ.(Мн.ч.).РеализацияПро	DT3614	
Документ.РеализацияРозница	DH5292	
Документ.(Мн.ч.).РеализацияРоз	DT5292	
Документ.РКО	DH2225	
Документ.СнятиеРезерва	DH6322	
Документ.(Мн.ч.).СнятиеРезерва	DT6322	
Документ.СписаниеТМЦ	DH1790	
Документ.(Мн.ч.).СписаниеТМЦ	DT1790	
Документ.Сторно	DH6661	
Документ.СтрокаАвансОтчетаОпла	DH2998	
Документ.(Мн.ч.).СтрокаАвансОт	DT2998	
Документ.СтрокаАвансОтчетаПроч	DH3089	
Документ.(Мн.ч.).СтрокаАвансОт	DT3089	
Документ.СтрокаАвансОтчетаТМЦ	DH2988	
Документ.(Мн.ч.).СтрокаАвансОт	DT2988	
Документ.СтрокаВыпискиПриход	DH3259	
Документ.СтрокаВыпискиРасход	DH3274	
Документ.СчетФактураВыданный	DH2051	
Документ.(Мн.ч.).СчетФактураВы	DT2051	
Документ.СчетФактураПолученный	DH2695	
Документ.(Мн.ч.).СчетФактураПо	DT2695	
Документ.ЧекККМ	DH3046	
Документ.(Мн.ч.).ЧекККМ	DT3046	
Документ.КорректировочныйСчетФ	DH9017	
Документ.(Мн.ч.).Корректировоч	DT9017	
Документ.КорректировочныйСчетФ	DH9036	
Документ.(Мн.ч.).Корректировоч	DT9036	
Документ.ИсправлениеСчетаФакту	DH9133	
Документ.(Мн.ч.).ИсправлениеСч	DT9133	
Документ.ИсправлениеСчетаФакту	DH9163	
Документ.(Мн.ч.).ИсправлениеСч	DT9163	
Регистр.Банк	RG639	
Регистр.(Дв.).Банк	RA639	
Регистр.Заказы	RG464	
Регистр.(Дв.).Заказы	RA464	
Регистр.ЗаказыЗаявки	RG4667	
Регистр.(Дв.).ЗаказыЗаявки	RA4667	
Регистр.Заявки	RG4674	
Регистр.(Дв.).Заявки	RA4674	
Регистр.Касса	RG635	
Регистр.(Дв.).Касса	RA635	
Регистр.КнигаПокупок	RG3549	
Регистр.(Дв.).КнигаПокупок	RA3549	
Регистр.КнигаПродаж	RG4343	
Регистр.(Дв.).КнигаПродаж	RA4343	
Регистр.ОстаткиТМЦ	RG405	
Регистр.(Дв.).ОстаткиТМЦ	RA405	
Регистр.ПартииНаличие	RG328	
Регистр.(Дв.).ПартииНаличие	RA328	
Регистр.ПартииОтданные	RG351	
Регистр.(Дв.).ПартииОтданные	RA351	
Регистр.ПодотчетныеЛица	RG2964	
Регистр.(Дв.).ПодотчетныеЛица	RA2964	
Регистр.Покупатели	RG4335	
Регистр.(Дв.).Покупатели	RA4335	
Регистр.Поставщики	RG4314	
Регистр.(Дв.).Поставщики	RA4314	
Регистр.Продажи	RG2351	
Регистр.(Дв.).Продажи	RA2351	
Регистр.РеализованныйТовар	RG438	
Регистр.(Дв.).РеализованныйТов	RA438	
Регистр.РезервыТМЦ	RG4480	
Регистр.(Дв.).РезервыТМЦ	RA4480	
Последовательность.документов	_1SSTREAM	
